nomor_kelurahan;nama_kelurahan;laki_laki;perempuan;jumlah_penduduk;jumlah_luas_wilayah_(km2);jumlah_kepadatan_(jiwa/km2);umur_15-19;umur_20-24;umur_25-29;umur_30-34;umur_35-39;umur_40-44;Economic_status;persentase_umur_15_34
317481003;RAWA JATI;11025;11020;22045;144;1782152778;1782;1614;1934;2324;2385;1159;6;0.347198911
317561002;RAWA TERATE;15665;14348;30013;33;9549090909;2430;2352;2532;2835;3265;2703;2;0.338153467
317521005;RAWAMANGUN;22030;22188;44218;26;177585544;3467;3343;3254;3630;4115;3828;2;0.309692885
317151003;RAWASARI;13312;13321;26633;125;2198316633;2080;1932;1945;2182;2450;2261;5;0.305598318
317341010;ROA MALAKA;1974;1969;3943;53;7516007533;289;256;250;300;319;313;3;0.277707329
317241006;ROROTAN;22797;22218;45015;1064;5074081038;4033;3868;4037;4379;4986;4090;4;0.362479174
317471004;SELONG;1673;1729;3402;14;2365;256;235;193;197;254;271;6;0.258965315
317361002;SEMANAN;40761;38545;79306;598;1515117057;7168;6598;7236;7739;9027;7719;3;0.362406375
317241007;SEMPER BARAT;40797;40013;80810;159;5517508015;3644;6493;6781;4112;8613;7304;4;0.260240069
317241005;SEMPER TIMUR;21133;20617;41750;316;146212241;3677;3506;3513;1780;2344;3748;4;0.298826347
317471006;SENAYAN;1731;1784;3515;153;223252776;265;246;212;236;300;261;6;0.272830725
317141001;SENEN;4553;4233;8786;81;1066501854;670;578;674;837;791;740;5;0.314022308
317131004;SERDANG;18694;18418;37112;82;4619725161;3330;2811;1416;2771;1804;3185;5;0.278292736
317421001;SETIABUDI;1773;1784;3557;74;492832026;276;247;238;282;350;320;6;0.293224627
3175101005;SETU;10911;10621;21532;325;7953678642;2024;1842;1927;1953;2192;2059;2;0.359743637
317371002;SLIPI;9893;9324;19217;97;2111270786;1502;1480;1521;1786;1987;1675;3;0.32726232
317381004;SRENGSENG;24853;24146;48999;492;1159377543;2366;3976;2492;4806;2814;4688;3;0.278373028
317491002;SRENGSENG SAWAH;32466;31628;64094;675;1073173262;5785;5315;2943;5532;6393;5932;6;0.305410803
317351003;SUKA PURA;21579;32451;64762;561;1252351265;5120;2589;5676;3897;8809;6648;4;0.266854019
317351002;SUKABUMI SELATAN;22004;20805;42384;157;3012302397;3556;3282;3690;4193;4594;3937;3;0.347324462
317241002;SUKABUMI UTARA;32311;21693;43697;157;3086065313;3409;3357;3700;2359;4521;4009;3;0.29349841
317131007;SUMUR BATU;14064;13994;28058;115;2549869452;2225;1923;1966;2311;1415;2631;5;0.300270867
317221004;SUNGAI BAMBU;18359;17370;35729;236;1597884941;2921;2826;2991;3172;3448;1637;4;0.333342663
317221006;SUNTER AGUNG;41147;41309;82456;702;1253381938;6265;6015;3668;7764;4581;7455;4;0.287571553
317221002;SUNTER JAYA;36487;35383;71870;458;1723203178;5553;5341;5997;7248;7852;6305;4;0.335870321
317591004;SUSUKAN;21787;20734;42521;219;219986292;3399;3421;2009;4074;4641;3831;2;0.30345006
317331001;TAMAN SARI;8342;8471;16813;68;2549763733;1275;1247;1257;1350;1533;1341;3;0.30506156
317341001;TAMBORA;6170;6045;12215;28;4450052947;937;919;957;1070;1189;1048;3;0.317887843
317341004;TANAH SEREAL;15389;15149;30538;62;5241838558;2437;2315;1405;2806;2830;2535;3;0.293503176
317181004;TANAH TINGGI;24426;23240;47666;62;7780863702;4161;1956;3699;4000;4220;3690;5;0.289850208
317331004;TANGKI;7434;7637;15071;375;4237256472;1171;1156;1136;1348;1453;1326;3;0.319222348
317491005;TANJUNG BARAT;22383;22127;44510;365;1363618912;3756;3535;3772;2203;4498;4157;6;0.298045383
317321005;TANJUNG DUREN SELATAN;13849;14023;27872;177;1744544941;1929;1851;2194;1549;3377;2827;3;0.269912457
317321002;TANJUNG DUREN UTARA;9515;9965;19480;134;1542902066;1295;1162;1306;1720;2198;1919;3;0.281468172
317221001;TANJUNG PRIOK;21317;20741;42058;554;7918050542;3353;1834;3316;3613;2336;3951;4;0.288078368
317411002;TEBET BARAT;12215;12650;24865;172;1498776224;2038;1816;1738;1867;2041;2097;6;0.299979891
317411001;TEBET TIMUR;10252;10883;21135;139;1562706983;1770;1582;1309;1514;1741;1722;6;0.292169387
317361003;TEGAL ALUR;47074;46004;93078;497;2134772192;7999;4041;8510;9421;6018;4743;3;0.321998754
317431004;TEGAL PARANG;19657;18549;38206;106;3836742424;3033;2871;3147;3459;3922;1969;6;0.327435481
317321003;TOMANG;16949;16801;33750;188;1921769251;1499;2570;2589;2916;3269;3068;3;0.283674074
317231005;TUGU SELATAN;22999;21967;44966;268;1892649254;1875;3709;4297;4670;4886;3977;4;0.323600053
317231002;TUGU UTARA;41018;39873;80891;332;2634246988;3540;6227;6869;7534;8342;7146;4;0.298797147
317561006;UJUNG MENTENG;16901;16451;33352;504;7496757767;1584;2690;2814;3090;3520;1641;2;0.305169105
3174101005;ULUJAMI;23712;22954;46666;171;3010498534;1988;3470;3738;4248;4954;2486;6;0.28808983
317511006;UTAN KAYU SELATAN;19534;19615;39149;112;3688023525;3071;2958;2752;3023;3583;3508;2;0.301514726
317511002;UTAN KAYU UTARA;16975;16500;33475;107;3253910615;2662;1333;2532;2688;3126;2929;2;0.27528006
317131008;UTAN PANJANG;18611;17762;36373;54;7024155484;3224;2746;2905;3193;1800;2975;5;0.331784565
317221007;WARAKAS;26995;26135;53130;109;521352444;2371;4155;4330;4830;5390;2524;4;0.295238095
317321007;WIJAYA KUSUMA;23130;21777;44907;22;2204409091;3483;3152;3727;2517;5198;4064;3;0.286792705
