nomor_kelurahan;nama_kelurahan;laki_laki;perempuan;jumlah_penduduk;jumlah_luas_wilayah_(km2);jumlah_kepadatan_(jiwa/km2);umur_15-19;umur_20-24;umur_25-29;umur_30-34;umur_35-39;umur_40-44;Economic_status;persentase_umur_15_34
317131001;KEMAYORAN;12947;12628;25575;53;5025499524;2097;1888;1933;2176;2348;2037;5;0.316480938
317381006;KEMBANGAN SELATAN;14595;14609;29204;361;9264573369;2264;2301;1450;3101;3066;2555;3;0.312149021
317381001;KEMBANGAN UTARA;30516;29301;59817;365;1874874889;5135;4927;5315;3360;6394;5713;3;0.313238711
317141002;KENARI;5875;5685;11560;92;1296174863;875;917;898;983;997;879;5;0.317733564
317341005;KERENDANG;12216;11217;23433;33;7605510142;1915;1822;1158;1267;2380;1017;3;0.262962489
317571003;KLENDER;40957;39657;80614;305;2895375533;6682;6119;6566;7431;4715;7316;2;0.332423648
317231001;KOJA;18160;16432;34592;328;1095210494;1506;2681;2996;3194;3446;2977;4;0.299982655
317371006;KOTA BAMBU SELATAN;12730;12227;24957;58;4682062858;2160;1064;2114;2228;2540;2241;3;0.303161438
317371003;KOTA BAMBU UTARA;14924;14333;29257;64;4990091224;2361;2276;1332;2780;2993;2473;3;0.299039546
317141004;KRAMAT;18964;17824;36788;71;5146747566;1738;2818;2782;3068;3241;2779;5;0.282863977
317541001;KRAMAT JATI;20141;19320;39461;152;2802084708;1830;3163;3290;3400;3812;3547;2;0.296064469
317471003;KRAMAT PELA;8489;8187;16676;125;1408796481;1383;1276;1274;1445;1581;1426;6;0.3224994
317331002;KRUKUT;11475;11076;22551;55;4325040857;1832;1748;1845;1968;2128;1797;3;0.327834686
317431005;KUNINGAN BARAT;7897;7413;15310;98;1622801636;1226;1131;1253;1312;1515;1345;6;0.321489223
317421008;KUNINGAN TIMUR;3670;3474;7144;215;3428970657;544;562;565;624;655;623;6;0.3212486
317141005;KWITANG;9607;9611;19218;45;4393959732;1488;1379;1418;1540;1804;1496;5;0.303101259
317231003;LAGOA;35629;34649;70278;158;4826953596;5755;5742;3410;3489;6780;5876;4;0.261760437
317461002;LEBAK BULUS;20668;20619;41287;411;1111983471;3679;3260;3278;3521;3956;3844;6;0.332743963
317491004;LENTENG AGUNG;30461;29724;60185;228;2964652674;5292;4754;5073;5351;6198;5445;6;0.34011797
3175101007;LUBANG BUAYA;35780;35029;70809;372;2143954863;3421;5639;6109;6532;7139;6328;2;0.306472341
317581001;MAKASAR;19819;19513;39332;161;2686871196;3129;3057;3329;3453;4056;3606;2;0.329706092
317571006;MALAKA JAYA;17844;18371;36215;99;3867233354;2986;2368;2270;2690;2082;3705;2;0.284799116
317571005;MALAKA SARI;16020;16487;32507;138;2441510526;1384;2131;1083;1330;3146;3190;2;0.182360722
317431001;MAMPANG PRAPATAN;11112;10789;21901;78;2928957529;1749;1673;1761;1912;2157;1973;6;0.32395781
317331005;MANGGA BESAR;4324;4498;8822;51;1794129159;635;651;608;717;807;741;3;0.295964634
317121005;MANGGA DUA SELATAN;17836;17045;34881;129;2772639244;1482;1418;2727;1737;3408;3012;5;0.211117801
317411007;MANGGARAI;17533;17174;34707;95;372864638;1622;1445;1386;2652;3052;2879;6;0.204713747
317411006;MANGGARAI SELATAN;13840;13673;27513;51;5532775725;2242;2022;2043;2149;2500;1350;6;0.307345618
317331003;MAPHAR;9696;9487;19183;59;3356331582;1414;1407;1431;1630;1770;1605;3;0.306625658
317241003;MARUNDA;16075;15372;31447;792;4737965618;2952;2833;2857;2986;3371;1441;4;0.369765001
317471001;MELAWAI;1553;1666;3219;125;2528588565;228;267;234;229;239;224;6;0.297607953
317161001;MENTENG;15895;15841;31736;244;1311003608;2559;2425;2352;2486;1528;2433;5;0.309490799
